Week,Interest
2015-01-25,34
2015-02-01,31
2015-02-08,32
2015-02-15,26
2015-02-22,29
2015-03-01,30
2015-03-08,30
2015-03-15,28
2015-03-22,27
2015-03-29,30
2015-04-05,31
2015-04-12,35
2015-04-19,30
2015-04-26,35
2015-05-03,33
2015-05-10,34
2015-05-17,30
2015-05-24,28
2015-05-31,30
2015-06-07,27
2015-06-14,26
2015-06-21,29
2015-06-28,29
2015-07-05,30
2015-07-12,31
2015-07-19,29
2015-07-26,33
2015-08-02,36
2015-08-09,36
2015-08-16,43
2015-08-23,49
2015-08-30,50
2015-09-06,52
2015-09-13,52
2015-09-20,47
2015-09-27,42
2015-10-04,43
2015-10-11,44
2015-10-18,43
2015-10-25,39
2015-11-01,42
2015-11-08,37
2015-11-15,38
2015-11-22,28
2015-11-29,38
2015-12-06,38
2015-12-13,36
2015-12-20,26
2015-12-27,30
2016-01-03,40
2016-01-10,40
2016-01-17,43
2016-01-24,45
2016-01-31,41
2016-02-07,38
2016-02-14,38
2016-02-21,39
2016-02-28,34
2016-03-06,38
2016-03-13,37
2016-03-20,36
2016-03-27,41
2016-04-03,42
2016-04-10,41
2016-04-17,42
2016-04-24,40
2016-05-01,37
2016-05-08,39
2016-05-15,40
2016-05-22,36
2016-05-29,34
2016-06-05,36
2016-06-12,35
2016-06-19,33
2016-06-26,33
2016-07-03,30
2016-07-10,37
2016-07-17,35
2016-07-24,31
2016-07-31,37
2016-08-07,35
2016-08-14,38
2016-08-21,48
2016-08-28,51
2016-09-04,51
2016-09-11,58
2016-09-18,50
2016-09-25,49
2016-10-02,50
2016-10-09,47
2016-10-16,46
2016-10-23,49
2016-10-30,47
2016-11-06,42
2016-11-13,47
2016-11-20,37
2016-11-27,52
2016-12-04,47
2016-12-11,51
2016-12-18,38
2016-12-25,30
2017-01-01,48
2017-01-08,59
2017-01-15,59
2017-01-22,63
2017-01-29,61
2017-02-05,57
2017-02-12,55
2017-02-19,58
2017-02-26,57
2017-03-05,60
2017-03-12,53
2017-03-19,56
2017-03-26,62
2017-04-02,65
2017-04-09,53
2017-04-16,61
2017-04-23,58
2017-04-30,59
2017-05-07,56
2017-05-14,53
2017-05-21,55
2017-05-28,51
2017-06-04,52
2017-06-11,51
2017-06-18,51
2017-06-25,48
2017-07-02,42
2017-07-09,53
2017-07-16,52
2017-07-23,54
2017-07-30,53
2017-08-06,52
2017-08-13,58
2017-08-20,65
2017-08-27,69
2017-09-03,68
2017-09-10,74
2017-09-17,72
2017-09-24,72
2017-10-01,71
2017-10-08,67
2017-10-15,68
2017-10-22,70
2017-10-29,67
2017-11-05,67
2017-11-12,69
2017-11-19,46
2017-11-26,59
2017-12-03,63
2017-12-10,62
2017-12-17,54
2017-12-24,41
2017-12-31,58
2018-01-07,67
2018-01-14,70
2018-01-21,75
2018-01-28,72
2018-02-04,69
2018-02-11,65
2018-02-18,67
2018-02-25,70
2018-03-04,70
2018-03-11,65
2018-03-18,70
2018-03-25,68
2018-04-01,70
2018-04-08,72
2018-04-15,73
2018-04-22,68
2018-04-29,66
2018-05-06,64
2018-05-13,67
2018-05-20,67
2018-05-27,64
2018-06-03,64
2018-06-10,63
2018-06-17,58
2018-06-24,60
2018-07-01,50
2018-07-08,63
2018-07-15,63
2018-07-22,61
2018-07-29,64
2018-08-05,64
2018-08-12,73
2018-08-19,80
2018-08-26,83
2018-09-02,81
2018-09-09,87
2018-09-16,84
2018-09-23,83
2018-09-30,84
2018-10-07,81
2018-10-14,82
2018-10-21,75
2018-10-28,79
2018-11-04,75
2018-11-11,81
2018-11-18,58
2018-11-25,72
2018-12-02,75
2018-12-09,76
2018-12-16,66
2018-12-23,49
2018-12-30,63
2019-01-06,87
2019-01-13,87
2019-01-20,88
2019-01-27,86
2019-02-03,83
2019-02-10,83
2019-02-17,82
2019-02-24,81
2019-03-03,83
2019-03-10,75
2019-03-17,78
2019-03-24,83
2019-03-31,84
2019-04-07,82
2019-04-14,78
2019-04-21,82
2019-04-28,73
2019-05-05,74
2019-05-12,74
2019-05-19,77
2019-05-26,70
2019-06-02,75
2019-06-09,79
2019-06-16,76
2019-06-23,76
2019-06-30,61
2019-07-07,72
2019-07-14,72
2019-07-21,71
2019-07-28,73
2019-08-04,77
2019-08-11,91
2019-08-18,95
2019-08-25,97
2019-09-01,92
2019-09-08,100
2019-09-15,100
2019-09-22,98
2019-09-29,96
2019-10-06,89
2019-10-13,89
2019-10-20,95
2019-10-27,89
2019-11-03,95
2019-11-10,90
2019-11-17,89
2019-11-24,62
2019-12-01,83
2019-12-08,77
2019-12-15,78
2019-12-22,54
2019-12-29,62
2020-01-05,88
2020-01-12,95
2020-01-19,88
